CLV_UGA,Disponibilidad_hidrica,Vulnerabilidad_subterranea,Usos_agua_superficial,Cuerpos_agua,Zonas_inundables,Usos_suelo,Pendientes,ANP,Localidades,Zona_riego,Erosion
RA001Ap,0,1,1,0,1,7,3,1,1,1,0
RA002Pt,4,1,7,0,0,3,1,1,0,0,0
RA003Pv,1,1,3,1,1,4,1,0,1,1,0
RA004Pv,2,0,"1,3",1,0,6,3,1,1,1,1
RA005Ap,2,0,7,0,0,3,0,1,1,1,0
RA006Pt,1,1,3,0,0,4,3,1,1,1,1
RA007Pt,3,1,1,1,1,4,0,0,1,1,0
RA008Pv,0,0,"1,7",0,0,2,0,1,1,1,0
RA009Pv,4,1,7,0,0,2,0,0,1,1,1
RA010Pt,1,1,1,0,0,2,3,1,0,1,1
RA011Pv,1,0,7,1,1,4,1,1,0,0,1
RA012Pv,1,0,3,1,0,3,3,1,1,0,0
RA013Ap,2,1,"1,3",1,1,5,0,1,0,1,1
RA014Ap,0,1,"1,3",0,1,3,2,0,0,0,1
RA015Pv,4,0,7,0,0,1,1,1,0,0,1
RA016Pv,2,1,3,1,1,7,2,1,0,1,0
RA017Pv,0,0,1,0,0,3,1,1,0,1,1
RA018Pv,4,0,"1,7",0,0,5,3,1,0,1,0
RA019Pv,2,1,7,1,1,7,0,0,0,1,1
RA020Pt,0,0,3,1,0,6,1,1,0,0,1
RA021Ap,3,0,"1,3",0,0,4,0,1,1,1,1
RA022Ap,0,0,"1,3",1,0,7,3,1,0,1,0
RA023Ap,0,1,7,0,1,3,2,0,1,1,1
RA024Ap,4,0,3,0,1,7,3,0,0,1,0
RA025Ap,1,0,1,1,0,1,1,1,1,1,0
RA026Ap,2,0,1,0,0,2,3,1,0,1,1
RA027Pt,2,1,3,0,0,3,2,0,0,0,0
RA028Ap,4,0,3,0,0,1,1,1,1,1,1
RA029Pt,3,0,3,0,0,4,2,1,1,0,1
RA030Ap,4,1,3,0,0,1,1,1,1,0,1
RA031Pv,3,0,"1,3",1,0,1,0,1,1,1,0
RA032Ap,4,0,"1,3",1,0,4,1,1,0,1,1
RA033Pt,3,1,7,1,1,5,2,0,0,0,1
RA034Ap,1,1,3,0,0,4,2,0,0,1,0
RA035Ap,2,1,3,0,1,3,1,0,0,1,1
RA036Ap,3,0,"1,3",0,0,1,2,0,0,0,1
RA037Ap,0,0,"1,3",1,1,2,2,0,0,0,0
